"Main ID","Incident ID",Region,"Incident Date",Year,"Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Number of Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location of death","Information Source",Coordinates,"Migrantion route",URL,"UNSD Geographical Grouping","Source Quality"
2022.MMP00001,2022.MMP00001,Mediterranean,"Sun, 01/02/2022 - 12:00",2022,January,1,,1,,,,1,Drowning,"Retrieved from waters one mile off Aftis, El Aouana, Jijel, Algeria","DPC Jijel","36.71614878, 5.552716421","Western Mediterranean",https://archive.vn/Fm04u,Uncategorized,5
2022.MMP00002,2022.MMP00002,Mediterranean,"Mon, 01/03/2022 - 12:00",2022,January,3,8,11,3,,,,Drowning,"Off Plage Ben Zouit, Kerkera, Skikda, Algeria - boat capsized ~300m after sailing due to collision with rocks","DPC Skkikda, Echorouk Online, Akher Saa","36.97321267, 6.599006494","Central Mediterranean","https://archive.vn/ExMIR, https://archive.vn/YkAsW, https://archive.vn/8RUUp, https://archive.vn/0mnx8",Uncategorized,5
2022.MMP00003,2022.MMP00003,"Southern Africa","Mon, 01/03/2022 - 12:00",2022,January,3,3,6,2,,6,,Drowning,"Limpopo river, near Maroi, Limpopo province, South Africa","IOM Zimbabwe","-22.177258, 29.862273",,,Uncategorized,5
2022.MMP00004,2022.MMP00004,Mediterranean,"Mon, 01/03/2022 - 12:00",2022,January,3,14,17,16,1,,1,Drowning,"Off the coast of Cabo de Gata, Almería, Spain","IOM Spain, El País, ABC","36.523849, -2.117221","Western Mediterranean","https://archive.ph/y0PiC, https://archive.ph/fDsXq",Uncategorized,4
2022.MMP00005,2022.MMP00005,"Southern Asia","Sat, 01/01/2022 - 12:00",2022,January,1,,1,2,1,,,"Harsh environmental conditions / lack of adequate shelter, food, water","Remains found near the village of Belasur, Khoy, Iran - on border with Turkey","Twitter@tcvanvaliligi (Turkey-Van Governor's office), Hurriyet, Daily Sabah","38.566055, 44.344085","Iran to Turkey","https://archive.ph/MjeLH, https://archive.ph/b5B3g, https://archive.ph/bP4nf","Southern Asia",5
2022.MMP00006,2022.MMP00006,"Southern Asia","Tue, 01/04/2022 - 12:00",2022,January,8,,8,16,,,,"Vehicle accident / death linked to hazardous transport","KM60 of Khash-Iranshahr highway, Sistan and Baluchistan, Iran","Islamic Republic News Agency, Young Journalists Club","28.64045, 60.789299","Afghanistan to Iran","https://archive.ph/4kfZB, https://archive.ph/DEgzy","Southern Asia",3
2022.MMP00008,2022.MMP00008,Mediterranean,"Tue, 01/11/2022 - 12:00",2022,January,1,,1,,1,,,Drowning,"Retrieved from waters 900 meters off Rocher Plat, Tipaza, Algeria","DPC Tipaza","36.5918492, 2.548609412","Western Mediterranean",https://archive.vn/0wQPa,Uncategorized,5
2022.MMP00009,2022.MMP00009,Mediterranean,"Wed, 01/12/2022 - 12:00",2022,January,1,,1,,,1,,Drowning,"Remains washed ashore Plage Gounini, Tipaza, Algeria","DPC Tipaza","36.56840211, 2.020841623","Western Mediterranean",https://archive.vn/o7wdP,Uncategorized,5
2022.MMP00010,2022.MMP00010,Europe,"Mon, 01/10/2022 - 12:00",2022,January,1,,1,,,,,"Vehicle accident / death linked to hazardous transport","Train tracks in Donji Hadzici, Bosnia and Herzegovina","Sarajevo Canton Ministry of the Interior via IOM BiH, BL Portal","43.82935627, 18.21447933","Western Balkans",https://archive.ph/V5S5k,"Southern Europe",5
2022.MMP00011,2022.MMP00011,"Central America","Sat, 01/01/2022 - 12:00",2022,January,1,,1,,,1,,Violence,"Chaparral International Bridge,Tijuana,Baja California, Mexico","Citizens' Committee for the Defense of Naturalized and Afro-Mexicans (CCDNAM),Eje Central, Gobernantes,Reforma","32.53901177, -117.033951","US-Mexico border crossing","https://bit.ly/31sGDti, https://archive.ph/KhoSQ, https://archive.ph/bZ3jA, https://archive.ph/4GRP8","Central America",3
2022.MMP00012,2022.MMP00012,"Central America","Tue, 01/04/2022 - 12:00",2022,January,1,,1,,,1,,"Sickness / lack of access to adequate healthcare","Hotel Migrante, Baja California, Zona Nte., 22000 Tijuana, B.C,Mexico","AFN Tijuana","32.53926104, -117.039462","US-Mexico border crossing",https://archive.ph/1ySN3,"Central America",1
2022.MMP00013,2022.MMP00013,"Central America","Tue, 01/04/2022 - 12:00",2022,January,1,,1,,,1,,Drowning,"Rio Grande near La Mision Subdivision, La Mision, Ciudad Acuña, Coahuila, Mexico",Zócalo,"29.30901166, -100.900943","US-Mexico border crossing",https://archive.ph/kGHte,"Central America",1
