incidentID,totDeadMissing,totalMigrants,xCoord,yCoord
2022.MMP00001,1,1,36.71614878,5.552716421
2022.MMP00002,11,14,36.97321267,6.599006494
2022.MMP00003,6,8,-22.177258,29.862273
2022.MMP00004,17,33,36.523849,-2.117221
2022.MMP00005,1,3,38.566055,44.344085
2022.MMP00006,8,24,28.64045,60.789299
2022.MMP00008,1,1,36.5918492,2.548609412
2022.MMP00009,1,1,36.56840211,2.020841623
2022.MMP00010,1,1,43.82935627,18.21447933
2022.MMP00011,1,1,32.53901177,-117.033951
2022.MMP00012,1,1,32.53926104,-117.039462
2022.MMP00013,1,1,29.30901166,-100.900943
2022.MMP00014,1,31,50.47936679,1.427167767
2022.MMP00015,1,1,32.550487,-116.938188
2022.MMP00016,2,2,38.545505,44.294908
2022.MMP00017,43,53,28.17529426,-12.4316667
2022.MMP00018,1,1,28.302633,-13.90153
2022.MMP00019,1,1,28.248654,-13.904369
2022.MMP00020,1,1,29.34628,-100.947699
2022.MMP00021,2,2,36.583558,-4.533957
2022.MMP00022,1,1,32.719825,20.947388
2022.MMP00023,1,10,36.972379,-1.78863
2022.MMP00024,1,1,33.535533,13.618488
2022.MMP00025,1,1,28.6739324,-100.4644414
2022.MMP00026,1,1,-26.94029127,-55.23607685
2022.MMP00027,11,32,34.73743832,11.14155354
2022.MMP0002830,3,39,32.78779605,12.67827792
2022.MMP0002831,1,1,32.78779605,12.67827792
2022.MMP0002932,1,1,40.882262,23.523767
2022.MMP0002933,1,1,40.882262,23.523767
2022.MMP00031,6,11,1.46452294,103.3222483
2022.MMP00032,7,26,1.367916366,104.2465645
2022.MMP00034,1,1,-19.27447178,-68.63426317
2022.MMP00035,1,1,32.5488045,-117.0228877
2022.MMP00036,1,1,29.33773236,-100.94183
2022.MMP00037,1,1,25.4668438,-100.9914757
2022.MMP00038,9,109,32.79818694,12.72527
2022.MMP00039,1,1,32.91014649,13.24481929
2022.MMP00040,4,9,48.99940555,-97.24679064
2022.MMP00041,1,1,33.19129295,11.49095792
